Time,PID,Tickets,Pass,Stride,Runtime
2056,12,32,1590,1,303
2056,13,32,1590,1,302
2056,14,32,1590,1,301
2184,1,8,4,2,2
2184,2,8,1272,2,636
2184,5,1,3327,1024,1
2184,4,8,4,2,2
2184,6,2,1632,32,10
2184,7,4,1609,4,81
2184,8,8,1610,2,163
2184,9,16,1608,1,324
2184,10,32,1609,1,324
2184,11,32,1609,1,323
2184,12,32,1609,1,322
2184,13,32,1609,1,321
2184,14,32,1609,1,320
2317,1,8,4,2,2
2317,2,8,1272,2,636
2317,5,1,3327,1024,1
2317,4,8,4,2,2
2317,6,2,1632,32,10
2317,7,4,1629,4,86
2317,8,8,1630,2,173
2317,9,16,1628,1,344
2317,10,32,1628,1,343
2317,11,32,1628,1,342
2317,12,32,1629,1,342
2317,13,32,1629,1,341
2317,14,32,1629,1,340
2445,1,8,4,2,2
2445,2,8,1272,2,636
2445,5,1,3327,1024,1
2445,4,8,4,2,2
2445,6,2,1664,32,11
2445,7,4,1649,4,91
2445,8,8,1648,2,182
2445,9,16,1647,1,363
2445,10,32,1647,1,362
2445,11,32,1647,1,361
2445,12,32,1647,1,360
2445,13,32,1648,1,360
2445,14,32,1648,1,359
2578,1,8,4,2,2
2578,2,8,1272,2,636
2578,5,1,3327,1024,1
2578,4,8,4,2,2
2578,6,2,1696,32,12
2578,7,4,1669,4,96
2578,8,8,1668,2,192
2578,9,16,1666,1,382
2578,10,32,1667,1,382
2578,11,32,1667,1,381
2578,12,32,1667,1,380
2578,13,32,1667,1,379
2578,14,32,1667,1,378
2706,1,8,4,2,2
2706,2,8,1272,2,636
2706,5,1,3327,1024,1
2706,4,8,4,2,2
2706,6,2,1696,32,12
2706,7,4,1689,4,101
2706,8,8,1686,2,201
2706,9,16,1685,1,401
2706,10,32,1686,1,401
2706,11,32,1686,1,400
2706,12,32,1686,1,399
2706,13,32,1686,1,398
2706,14,32,1686,1,397
2706,15,8,0,2,0
2706,16,8,0,2,0
2706,17,8,0,2,0
2706,18,8,0,2,0
2706,19,8,0,2,0
2706,20,8,0,2,0
2882,1,8,4,2,2
2882,2,8,1272,2,636
2882,5,1,3327,1024,1
2882,4,8,6,2,3
2882,6,2,1728,32,13
2882,7,4,1713,4,107
2882,8,8,1712,2,214
2882,9,16,1710,1,426
2882,10,32,1710,1,425
2882,11,32,1711,1,425
2882,12,32,1711,1,424
2882,13,32,1711,1,423
2882,14,32,1711,1,422
2882,15,32,3993,1,1
2882,16,32,3994,1,1
2882,17,8,3997,2,1
2882,18,2,4058,32,1
2882,19,8,3999,2,1
2882,20,8,4000,2,1
3051,1,8,4,2,2
3051,2,8,1272,2,636
3051,5,1,3327,1024,1
3051,4,8,6,2,3
3051,6,2,1760,32,14
3051,7,4,1737,4,113
3051,8,8,1736,2,226
3051,9,16,1735,1,451
3051,10,32,1735,1,450
3051,11,32,1736,1,450
3051,12,32,1736,1,449
3051,13,32,1736,1,448
3051,14,32,1736,1,447
3051,15,32,3993,1,1
